point_required,content_type,content_id,content_amount
300,27,15014,5
600,28,16001,5
900,12,1932,100
1200,12,1902,100
1500,12,1922,100
1800,17,1300,1
2100,12,1952,100
2400,10,0,100000
2700,12,1962,100
3000,12,1942,100
3500,12,1912,100
4000,1,0,10
4500,27,15014,5
5000,12,1700,1
5500,12,1931,100
6000,12,1901,100
6500,12,1921,100
7000,28,16001,5
7500,12,1951,100
8000,12,1961,100
8500,12,1941,100
9000,1,0,20
9500,12,1911,100
10000,3,402062002,1
10500,12,1971,100
11000,12,1930,150
11500,12,1900,150
12000,12,1920,150
12500,4,0,150000
13000,12,1950,150
13500,1,0,50
14000,12,1960,150
14500,12,1940,150
15000,12,1911,150
15500,12,1970,150
16000,27,15014,5
16500,10,0,100000
17000,12,1932,100
18000,12,1902,100
19000,12,1922,100
20000,1,0,10
21000,12,1952,100
22000,4,0,100000
23000,12,1962,100
24000,12,1942,100
25000,12,1912,100
26000,28,16001,5
27000,12,1931,100
28000,12,1901,100
29000,12,1921,100
30000,6,1500,1
31000,12,1951,100
32000,26,103506600,1
33000,12,1961,100
34000,12,1941,100
35000,12,1911,100
36000,13,1800,1
37500,12,1930,150
39000,1,0,20
40500,12,1900,150
42000,12,1920,150
43500,12,1950,150
45000,3,401092002,1
47000,12,1960,150
49000,12,1940,150
51000,12,1910,150
53000,10,0,100000
55000,13,1800,1
57000,4,0,100000
59000,1,0,10
61000,12,12301,10
63000,27,15014,5
65000,12,13201,10
67500,28,16001,5
70000,12,12401,10
72500,17,1300,1
75000,12,13101,10
77500,10,0,100000
80000,12,12201,10
82500,12,1700,1
85000,12,13301,10
87500,1,0,10
90000,12,12101,10
92500,4,0,100000
95000,12,13401,10
97500,27,15014,5
100000,12,12302,10
102500,13,1800,1
105000,12,13202,10
107500,28,16001,5
110000,12,12402,10
112500,6,1400,1
115000,12,13102,10
117500,16,2200,1
120000,12,12202,10
122500,10,0,100000
125000,12,13302,10
130000,3,400083003,1
135000,12,12102,10
140000,12,1971,100
145000,12,13402,10
150000,4,0,100000
155000,12,12303,10
160000,3,402062002,1
165000,12,1970,150
170000,28,16001,5
175000,12,13203,10
180000,13,1800,1
185000,12,12403,10
190000,3,401092002,1
195000,12,13103,10
200000,1,0,10
205000,12,12203,10
210000,27,15014,5
220000,12,13303,10
230000,1,0,50
240000,12,12103,10
250000,12,1700,1
260000,12,13403,10
270000,13,1800,1
280000,12,12301,10
290000,17,1301,1
300000,12,13201,10
310000,10,0,100000
320000,12,12401,10
330000,4,0,100000
340000,12,13101,10
350000,16,2200,1
375000,12,12201,10
400000,12,1700,1
425000,12,13301,10
450000,27,15014,5
475000,12,12101,10
500000,28,16001,5
525000,12,13401,10
550000,13,1800,1
575000,12,12302,10
600000,6,1400,1
650000,12,13202,10
700000,10,0,100000
750000,12,12402,10
800000,4,0,100000
850000,12,13102,10
900000,27,15014,5
950000,12,12202,10
1000000,28,16001,5
1050000,12,13302,10
1100000,17,1301,1
1150000,12,12102,10
1200000,25,10104,10
1250000,12,13402,10
1300000,25,10102,10
1350000,12,12303,10
1400000,25,10101,10
1450000,12,13202,10
1500000,25,10106,10
1600000,12,12403,10
1700000,25,10103,10
1800000,12,13103,10
1900000,25,10105,10
2000000,12,12203,10
2300000,10,0,100000
2600000,12,13303,10
2900000,28,16001,5
3200000,12,12103,10
3500000,10,0,100000
4000000,12,13403,10
4500000,4,0,100000
5000000,6,1400,1
5500000,10,0,100000
6000000,28,16001,5
6500000,4,0,100000
7000000,17,1301,1
7500000,10,0,100000
8000000,28,16001,5
8500000,4,0,100000
9000000,1,0,10
