highest_rank,content_type,content_id,content_amount,ranking_result_prize_type
1,15,13102301,1,1
1,3,400033005,3,1
1,3,400062006,5,1
1,13,1800,10,1
1,12,1700,50,1
2,15,13102302,1,1
2,3,400033005,3,1
2,3,400062006,5,1
2,13,1800,10,1
2,12,1700,50,1
3,15,13102303,1,1
3,3,400033005,3,1
3,3,400062006,5,1
3,13,1800,10,1
3,12,1700,50,1
4,15,13102304,1,1
4,3,400033005,3,1
4,3,400062006,5,1
4,13,1800,10,1
4,12,1700,50,1
5,15,13102305,1,1
5,3,400033005,3,1
5,3,400062006,5,1
5,13,1800,10,1
5,12,1700,50,1
6,15,13102306,1,1
6,3,400033005,3,1
6,3,400062006,5,1
6,13,1800,10,1
6,12,1700,50,1
7,15,13102307,1,1
7,3,400033005,3,1
7,3,400062006,5,1
7,13,1800,10,1
7,12,1700,50,1
8,15,13102308,1,1
8,3,400033005,3,1
8,3,400062006,5,1
8,13,1800,10,1
8,12,1700,50,1
9,15,13102309,1,1
9,3,400033005,3,1
9,3,400062006,5,1
9,13,1800,10,1
9,12,1700,50,1
10,15,13102310,1,1
10,3,400033005,3,1
10,3,400062006,5,1
10,13,1800,10,1
10,12,1700,50,1
11,15,13102311,1,1
11,3,400033005,3,1
11,3,400062006,5,1
11,13,1800,10,1
11,12,1700,40,1
51,15,13102312,1,1
51,3,400033005,3,1
51,3,400062006,5,1
51,13,1800,10,1
51,12,1700,40,1
101,15,13102313,1,1
101,3,400033005,2,1
101,3,400062006,5,1
101,13,1800,10,1
101,12,1700,40,1
301,15,13102314,1,1
301,3,400033005,2,1
301,3,400062006,5,1
301,13,1800,10,1
301,12,1700,30,1
501,15,13102315,1,1
501,3,400033005,2,1
501,3,400062006,5,1
501,13,1800,10,1
501,12,1700,30,1
1001,15,13102316,1,2
1001,3,400033005,2,2
1001,3,400062006,4,2
1001,13,1800,8,2
1001,12,1700,30,2
2001,15,13102317,1,2
2001,3,400033005,2,2
2001,3,400062006,4,2
2001,13,1800,8,2
2001,12,1700,20,2
3001,15,13102318,1,2
3001,3,400033005,2,2
3001,3,400062006,4,2
3001,13,1800,8,2
3001,12,1700,20,2
4001,15,13102319,1,2
4001,3,400033005,2,2
4001,3,400062006,4,2
4001,13,1800,8,2
4001,12,1700,20,2
5001,15,13102320,1,2
5001,3,400033005,2,2
5001,3,400062006,4,2
5001,13,1800,6,2
5001,12,1700,20,2
6001,15,13102321,1,2
6001,3,400033005,2,2
6001,3,400062006,4,2
6001,13,1800,6,2
6001,12,1700,20,2
7001,15,13102322,1,2
7001,3,400033005,2,2
7001,3,400062006,4,2
7001,13,1800,6,2
7001,12,1700,20,2
8001,15,13102323,1,2
8001,3,400033005,2,2
8001,3,400062006,4,2
8001,13,1800,6,2
8001,12,1700,20,2
9001,15,13102324,1,2
9001,3,400033005,2,2
9001,3,400062006,4,2
9001,13,1800,6,2
9001,12,1700,20,2
10001,15,13102325,1,3
10001,3,400033005,1,3
10001,3,400062006,3,3
10001,13,1800,4,3
10001,12,1700,10,3
20001,15,13102326,1,3
20001,3,400033005,1,3
20001,3,400062006,3,3
20001,13,1800,3,3
20001,12,1700,10,3
30001,15,13102327,1,3
30001,3,400033005,1,3
30001,3,400062006,3,3
30001,13,1800,2,3
30001,12,1700,10,3
40001,15,13102328,1,3
40001,3,400062006,3,3
40001,13,1800,2,3
40001,12,1700,10,3
50001,15,13102329,1,3
50001,3,400062006,2,3
50001,13,1800,1,3
50001,12,1700,5,3
60001,15,13102330,1,3
60001,3,400062006,2,3
60001,13,1800,1,3
60001,12,1700,5,3
70001,15,13102331,1,3
70001,3,400062006,1,3
70001,13,1800,1,3
70001,12,1700,5,3
80001,15,13102332,1,3
80001,3,400062006,1,3
80001,13,1800,1,3
80001,12,1700,5,3
90001,15,13102333,1,3
90001,3,400062006,1,3
90001,13,1800,1,3
90001,12,1700,5,3
100001,15,13102398,1,3
100001,13,1800,1,3
100001,12,1700,5,3
150001,15,13102398,1,3
150001,12,1700,5,3
200001,15,13102398,1,3
