product_id,source_amount,stock_amount,content_type,content_id,content_amount
31023001,34500,1,3,400033005,1
31023002,400000,1,3,400033005,1
31023003,600000,1,3,400033005,1
31023004,7200,1,3,400062006,1
31023005,7200,1,3,402012005,1
31023006,12000,2,3,402012005,1
31023007,70000,3,3,402012005,1
31023008,4500,1,26,101100200,1
31023009,10500,1,1,0,100
31023010,2000,5,21,21010,1
31023011,10000,15,13,1805,1
31023012,3000,1,23,100432,1
31023013,5000,5,23,100432,1
31023014,150,100,12,1900,10
31023015,300,80,12,1901,10
31023016,450,80,12,1902,10
31023017,150,100,12,1910,10
31023018,300,80,12,1911,10
31023019,450,80,12,1912,10
31023020,150,100,12,1920,10
31023021,300,80,12,1921,10
31023022,450,80,12,1922,10
31023023,150,100,12,1930,10
31023024,300,80,12,1931,10
31023025,450,80,12,1932,10
31023026,150,100,12,1940,10
31023027,300,80,12,1941,10
31023028,450,80,12,1942,10
31023029,150,100,12,1950,10
31023030,300,80,12,1951,10
31023031,450,80,12,1952,10
31023032,200,100,12,1960,10
31023033,350,80,12,1961,10
31023034,500,80,12,1962,10
31023035,200,100,12,1970,10
31023036,350,80,12,1971,10
31023037,500,80,12,1972,10
31023038,2000,5,12,8001,100
31023039,2000,5,12,8002,100
31023040,2000,5,12,8003,100
31023041,2000,5,12,8004,100
31023042,2000,5,12,8005,100
31023043,2000,5,12,8006,100
31023044,2000,5,12,8007,100
31023045,2000,5,12,8008,100
31023046,2000,5,12,8009,100
31023047,2000,5,12,8101,100
31023048,2000,5,12,8102,100
31023049,2000,5,12,8103,100
31023050,2000,5,12,8104,100
31023051,2000,5,12,8105,100
31023052,2000,5,12,8106,100
31023053,2000,5,12,8107,100
31023054,2000,5,12,8108,100
31023055,2000,5,12,8109,100
31023056,2000,5,12,8201,100
31023057,2000,5,12,8202,100
31023058,2000,5,12,8203,100
31023059,2000,5,12,8204,100
31023060,2000,5,12,8205,100
31023061,2000,5,12,8206,100
31023062,2000,5,12,8207,100
31023063,2000,5,12,8208,100
31023064,2000,5,12,8209,100
31023065,2000,5,12,8210,100
31023066,2000,5,12,8211,100
31023067,2000,5,12,8212,100
31023068,150,90,12,12101,1
31023069,250,90,12,12102,1
31023070,350,90,12,12103,1
31023071,150,90,12,12201,1
31023072,250,90,12,12202,1
31023073,350,90,12,12203,1
31023074,150,90,12,12301,1
31023075,250,90,12,12302,1
31023076,350,90,12,12303,1
31023077,150,90,12,12401,1
31023078,250,90,12,12402,1
31023079,350,90,12,12403,1
31023080,150,90,12,13101,1
31023081,250,90,12,13102,1
31023082,350,90,12,13103,1
31023083,150,90,12,13201,1
31023084,250,90,12,13202,1
31023085,350,90,12,13203,1
31023086,150,90,12,13301,1
31023087,250,90,12,13302,1
31023088,350,90,12,13303,1
31023089,150,90,12,13401,1
31023090,250,90,12,13402,1
31023091,350,90,12,13403,1
31023092,500,10,12,1700,1
31023093,3000,30,13,1800,1
31023094,1000,5,28,16001,10
31023095,700,5,17,1300,1
31023096,1400,3,17,1301,1
31023097,3000,5,6,1400,1
31023098,3000,5,6,1500,1
31023099,5000,10,10,1200,100000
31023100,5000,10,4,1100,100000
31023101,10,1000,10,1200,10
31023102,10,1000,4,1100,10
31023103,1,1000,10,1200,1
31023104,1,1000,4,1100,1
