highest_rank,content_type,content_id,content_amount,ranking_result_prize_type
1,15,23102401,1,1
1,21,21010,10,1
1,13,1800,150,1
1,28,16001,400,1
1,6,1400,8,1
2,15,23102402,1,1
2,21,21010,10,1
2,13,1800,80,1
2,28,16001,200,1
2,6,1400,8,1
3,15,23102403,1,1
3,21,21010,10,1
3,13,1800,80,1
3,28,16001,200,1
3,6,1400,8,1
4,15,23102404,1,1
4,21,21010,10,1
4,13,1800,80,1
4,28,16001,200,1
4,6,1400,8,1
5,15,23102405,1,1
5,21,21010,10,1
5,13,1800,80,1
5,28,16001,200,1
5,6,1400,8,1
6,15,23102406,1,1
6,21,21010,10,1
6,13,1800,80,1
6,28,16001,150,1
6,6,1400,8,1
7,15,23102407,1,1
7,21,21010,10,1
7,13,1800,80,1
7,28,16001,150,1
7,6,1400,8,1
8,15,23102408,1,1
8,21,21010,10,1
8,13,1800,80,1
8,28,16001,150,1
8,6,1400,8,1
9,15,23102409,1,1
9,21,21010,10,1
9,13,1800,80,1
9,28,16001,150,1
9,6,1400,8,1
10,15,23102410,1,1
10,21,21010,10,1
10,13,1800,80,1
10,28,16001,150,1
10,6,1400,8,1
11,15,23102411,1,1
11,21,21010,8,1
11,13,1800,80,1
11,28,16001,120,1
11,6,1400,8,1
51,15,23102412,1,1
51,21,21010,8,1
51,13,1800,80,1
51,28,16001,120,1
51,6,1400,6,1
101,15,23102413,1,1
101,21,21010,6,1
101,13,1800,80,1
101,28,16001,120,1
101,6,1400,6,1
301,15,23102414,1,1
301,21,21010,6,1
301,13,1800,50,1
301,28,16001,120,1
301,6,1400,6,1
501,15,23102415,1,2
501,21,21010,3,2
501,13,1800,50,2
501,28,16001,120,2
501,6,1400,4,2
1001,15,23102416,1,2
1001,21,21010,3,2
1001,13,1800,50,2
1001,28,16001,90,2
1001,6,1400,4,2
2001,15,23102417,1,2
2001,21,21010,3,2
2001,13,1800,50,2
2001,28,16001,90,2
2001,6,1400,4,2
3001,15,23102418,1,2
3001,21,21010,3,2
3001,13,1800,50,2
3001,28,16001,90,2
3001,6,1400,4,2
4001,15,23102419,1,2
4001,21,21010,3,2
4001,13,1800,50,2
4001,28,16001,90,2
4001,6,1400,4,2
5001,15,23102420,1,3
5001,21,21010,3,3
5001,13,1800,40,3
5001,28,16001,90,3
5001,6,1400,4,3
6001,15,23102421,1,3
6001,13,1800,40,3
6001,28,16001,90,3
6001,6,1400,2,3
7001,15,23102422,1,3
7001,13,1800,40,3
7001,28,16001,90,3
7001,6,1400,2,3
8001,15,23102423,1,3
8001,13,1800,30,3
8001,28,16001,90,3
8001,6,1400,1,3
9001,15,23102424,1,3
9001,13,1800,30,3
9001,28,16001,60,3
9001,6,1400,1,3
10001,6,1400,1,3
